account,nonce,credential_creation_date,credential_valid_to_date,credential_count,total_balance,unlocked_balance,locked_balance,baker_id,staked_amount,restake_earnings,baker_lp,baker_bpy
2wkPrQd6ejfcE8hQsUhQAkV2TKbsX58FAafGpCLuxr6iKeoNHb,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wkpAgavJRHPB836ki65xfn2WtbxfsiMC4vjCb2EzouBGeq1uv,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wm3KTAoBoyaAQhdnxd3o6mENucSwGyKrjXuu6RiUs7AQ4DUo7,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wm4HCd9nxxBKBSUrHogfjfqU9HPsHrmpeZWZmkmn4mAHkSe8V,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wm6GFa1mCbE57wzsxPXjXy4EWoytEGkQ83tqtbbVbbXzk2zBj,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wmFukJAFHhP5oDHLftyqJx3bJL92P2Hv4RFuEEzhUuynTN5LN,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wn6RmE9X9b2dpUk7jnNJZxgG1cxJ1hdQdptzTBGE6LZjjmcM4,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wn9uPjvkggq3WCMkS5xjMNEMRw3YnMLzhm8eeBF5ue6UM5cMs,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wnC5P3APBPZ47Fd5SqZVeqhQRRNhHknt3iPQmfzCKPEPtKmQt,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wnWJ5L3Ce7qZUjhURJ2QyfuKAc43W4WYb637TxufjED43mNBc,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2woK1bSVLB4KBBdt6TvSAXgAHfb7SUWNSRXcLHz2FSRmrGBjJY,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2woWVFyfuNeGU9vW82nyDWfjScST8uytDv5wTMd3nmXqztjYxk,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2woXAgLu9ri7ug45tTH8FXTpo2XvKimxYDVbR91NdzvBUK6P3L,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2woXBSJrTXkoj3BaUXrcPJv3UhQVEzS4gAR8bt4R5cDN7yahgc,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wowe67Fa7K8VRxnomDGNEfGhzG6aWSowZGbTNrKsUWKVkko6T,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wp2D7ZfYjSg8MAq37dwDNniDxkRN515QpDihKH2FEeVnhTz8C,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wpM5oUggUMZqQc4Kwc8PMko9fWKW7ZjXAHYdXg8xZcp11QEyo,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wpeW2do9QYUiSVuL87pSiMc9BL7QCiGiHdh4srznpXvQfSnJX,1,2021-11-01,2026-11-01,1,0.0,0.0,0.0,,,,,
2wpk74cQAfDtQc4d64kdZ52tpheobxaVK24oAs5AP1iqXU8DoJ,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wpkL3KakK8c8aTDFL7VCZHKbFNPeXykAZ2cPE3AeVyAjpUr4y,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wpohxKT3kssw4HT6NHE27LDWd3pojmeh1hwyHURGk5YJN2Nfi,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wqTNuDWwv8AEutFQXR7McESNUAkXMFYEWrSe2XHfEVbZFRXAo,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wqU9EHnA4p4ajHkXMHkFzNZGf8Y7g6cMzq25iJ2e1NZoNtmvL,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wrCouHK6RdWZ1CnEnpAsyXypEBFjv2RLYZmcNktuzPufq9WyV,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wrGZK5ZXq1qX2YytP5gc4tohHDpDj3Nno8PZNULV7vbgyHmLx,1,2021-11-01,2026-11-01,1,18.54,18.54,0.0,,,,,
2wrHiebKLFtmQ54FMdzaeqDPNQk67Tz5TmrFsmZw6314hzULT3,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wrXoQ9D7Eu8Wg65nqtrnyC9Dh6Pz5L466JjwrNycPGKVCQRhL,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wrbrz4QoZ3aknSJ7xz7SdgipbQ2Sj8eSg1NPE1uaKFAhGjZ1m,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wrgoRXc3fJveCwerMnNEovM7TSdY3uhiCH2dmjgWp6pHekZ9N,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wsHRjDab8ZkPxND7GHZydqXsFiAe5FHudh8Afuuy4i2SH5uYu,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wsYnHgf1Ah6uF2N9iNbzLkSTdgcazxNf36fBpz2SrDP61z6x8,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wsh4rc149odehNKDErnq1vjeZotjj9R7pJeoQUp3pW37k5QUo,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wso7vBP2zHWFjbpiKXBBtnwi8mpvJ2MhXrcCGzyYJhR2kvSk9,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wsuRWPiZ7YagFP2LHNtHpd6qxzifKDvxnud51sx7bu6cusr8R,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wsuyNShe92SXvEQXjAq4pV2tBVeM3CkTTL1K42QQCj5tJU7r3,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wt5dhh16rJPDGFsXbKExfMDBchiG4pvVL7bJcJiDvF6QFddY9,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wtEqu86XUn6WA3yNzPbpvVNL8Xi3QtXt7hMNjxCQDBURFEPot,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wtHqchFRukDCnJgi7TCh3TqviT3uLgJZhXxC5PUSWhURVUBBG,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wtKUqzLSyKwykg5ttsE1uZ9g38mYskoLL5G1Ya6v1ZFeRFxT3,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wtf7XFFKf4Jc28Zi4d2o6WaT9CiztC7mA99QBWoHoZiD14BTn,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wtvNRTvwDRhpLfBaVjBvppfqKZbDw96zyj1M1UTvkj8n548QC,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wu4HEtXrZxvrxQK8q6jb1mLxQ4urn4tgDfjrLmeft9YpZtVSC,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wu82e51oytfwjr6Z45maPcA5reerRytJRLPr4STFWJXxv5z8X,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wuBSLJDGyphGXJHk7jZPJWiUH1isps88YktT2bje971N7Xrz4,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wuQapxFT1ftSvkUGiADCXM5XCBEPuVdBQD9f3RsF57giV5Kgp,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wuZfemAFQ6knz9ijr1KJEVGSMRvbuVDEEJ8pkc2Y3sWRTv4Gh,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wverTL1stSp6EadDoAMxAvrHTKjuvsokx29vpx8D4ZjjPG4gh,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wvuHJ2RPQrQJQwJtqJ7o82oRNtSevCBCBC91J3ee9ZQ45J4i5,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wwF2SDwXN6SDoML8BLaykrusPEB482bhRreBU134c4Ehu4tKG,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wwaSqrkZhKmwvoq3Zog3BdEaks4u5yPJoD8csdUthWvCTbChW,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wwmHv6weaXxaCsppwxETeYisYMWJtm3mDaVEqab9cwyVN6VFp,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wwndHbecAmSY22YcJgXsLxtNmpbV4YpbhZkDKwSpB63LWLSmt,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wwptDfctf2dsLWfLvpJ7VbzG4Ks1RKpqKmhPzzHJQnn34PAWP,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wwvTj6nnHKUkbchRHtfhatXaUGuziJbuvhgcwyXtDLM1PAxRF,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wwvvbPjfiUg3hnSm5y9EaH7wUna4ywj7KW2LKQpNsa2GQAgZQ,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wx1XTLAU4C6YyCrCuNueU5Rg1WAiMYYTGPL19jrPnNsvmX4YF,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wx354v8KNpPAW4DjJnxzW2oPVGN3huZvMBgmQ2yVvxrP64vMf,1,2021-11-01,2026-11-01,1,999.0,999.0,0.0,,,,,
2wxb3drcSUKrTLEY6YF6ooEv6gA53wYPaFSWDTBdPmJEUccuLK,1,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,
2wy12J7mfJatHUDd64M46s2PsGXcyWedTTJX7ZncCiMLH6sGJ2,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
2wy4Kf34bBdGu1kToqNR9SNe7dVS9jGz8FXf9gSYgjVy97qWnS,1,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,
