date,GTU_denominator,GTU_numerator,NRG_denominator,NRG_numerator
2021-06-09,1,500000.0,50000,1
2021-06-10,1,500000.0,50000,1
2021-06-11,1,500000.0,50000,1
2021-06-12,1,500000.0,50000,1
2021-06-13,1,500000.0,50000,1
2021-06-14,1,500000.0,50000,1
2021-06-15,1,500000.0,50000,1
2021-06-16,1,500000.0,50000,1
2021-06-17,1,500000.0,50000,1
2021-06-18,1,500000.0,50000,1
2021-06-19,1,500000.0,50000,1
2021-06-20,1,500000.0,50000,1
2021-06-21,1,500000.0,50000,1
2021-06-22,1,500000.0,50000,1
2021-06-23,1,500000.0,50000,1
2021-06-24,1,500000.0,50000,1
2021-06-25,1,500000.0,50000,1
2021-06-26,1,500000.0,50000,1
2021-06-27,1,500000.0,50000,1
2021-06-28,1,500000.0,50000,1
2021-06-29,1,500000.0,50000,1
2021-06-30,1,500000.0,50000,1
2021-07-01,1,500000.0,50000,1
2021-07-02,1,500000.0,50000,1
2021-07-03,1,500000.0,50000,1
2021-07-04,1,500000.0,50000,1
2021-07-05,1,500000.0,50000,1
2021-07-06,1,500000.0,50000,1
2021-07-07,1,500000.0,50000,1
2021-07-08,1,500000.0,50000,1
2021-07-09,1,500000.0,50000,1
2021-07-10,1,500000.0,50000,1
2021-07-11,1,500000.0,50000,1
2021-07-12,1,500000.0,50000,1
2021-07-13,1,500000.0,50000,1
2021-07-14,1,500000.0,50000,1
2021-07-15,1,500000.0,50000,1
2021-07-16,1,500000.0,50000,1
2021-07-17,1,500000.0,50000,1
2021-07-18,1,500000.0,50000,1
2021-07-19,1,500000.0,50000,1
2021-07-20,1,500000.0,50000,1
2021-07-21,1,500000.0,50000,1
2021-07-22,1,500000.0,50000,1
2021-07-23,1,500000.0,50000,1
2021-07-24,1,500000.0,50000,1
2021-07-25,1,500000.0,50000,1
2021-07-26,1,500000.0,50000,1
2021-07-27,1,500000.0,50000,1
2021-07-28,1,500000.0,50000,1
2021-07-29,1,500000.0,50000,1
2021-07-30,1,500000.0,50000,1
2021-07-31,1,500000.0,50000,1
2021-08-01,1,500000.0,50000,1
2021-08-02,1,500000.0,50000,1
2021-08-03,1,500000.0,50000,1
2021-08-04,1,500000.0,50000,1
2021-08-05,1,500000.0,50000,1
2021-08-06,1,500000.0,50000,1
2021-08-07,1,500000.0,50000,1
2021-08-08,1,500000.0,50000,1
2021-08-09,1,500000.0,50000,1
2021-08-10,1,500000.0,50000,1
2021-08-11,1,500000.0,50000,1
2021-08-12,1,500000.0,50000,1
2021-08-13,1,500000.0,50000,1
2021-08-14,1,500000.0,50000,1
