date,blockHash,totalAmountReleased,blockHeight,totalAmount
2021-06-09,a748cdb81d9b34d93d3aca5881f40a2ba1159e0536f20cee69c1158da45f186e,,6346.0,1.0001958234607912e+16
2021-06-10,bb3746fa24a5a77fff242b252e4e8d7e11c52aff779b00834ed7cf8132015ea6,,14947.0,1.0004570551397852e+16
2021-06-11,e8f05f95de25bdb540a7c7072bf754a72446b06fd4a0d4ae4013abaf0098e239,,23516.0,1.0007183134614074e+16
2021-06-12,e752e6023b9f43b4b9a13e8ca0e1aa7840a00d8af0c2df5c55ebdf389d57d6ed,,32031.0,1.0009795386626798e+16
2021-06-13,08b8a3bfb23e6fe154116aef4a6653bd13c636a51cce5dff439bdfd92d21435f,,40464.0,1.001240965954794e+16
2021-06-14,2fb0f00f455ed3e2e46e011719036ba0c60d8a6cbbb2b29b22ca048168fbc33e,,48998.0,1.001502572002708e+16
2021-06-15,e30ba6f08342c21f070dea7b7cc7149c768d06b35f0ae23428f0e67c5fbb09b9,,57551.0,1.0017641358962156e+16
2021-06-16,d6bab4c8be481bfd4c0ffd5bd48897d1c814849bdb485889863d16914b4ff73c,,65941.0,1.0020257249482208e+16
2021-06-17,9a794cf79fde34cb34cb633da5b6c90262385442693a7ffa065f25453e47449d,,74561.0,1.0022874148722292e+16
2021-06-18,b08baa1817b0ead35c405c19850c01154108f741058981276439ec4b8107df21,,83150.0,1.0025491723819232e+16
2021-06-19,a753765f1615835377441881c12ddf6f0452a94ce8bb8836883105703522dfd8,,91653.0,1.0028109959791732e+16
2021-06-20,5ca0a7b50cadd1b8c1f102477d6f70df0a7d6871d730a74b24b3ab2fcf0841de,,100284.0,1.0030728917431614e+16
2021-06-21,7c7af01ea27a6aaa1c47e3bbea1b3f6865ebc43d4c8dd5c3cdec98009a010bab,,108840.0,1.0033348384682996e+16
2021-06-22,c416c8ee4ba899d016ef23b645276ad085bf1020cf97de4aee6782cd55b06caa,,117481.0,1.0035967777709164e+16
2021-06-23,1119964f8708d10ba2121bd63861b17ffc34afc3bac429cbca5684a1ebfa617e,,126001.0,1.0038589424634752e+16
2021-06-24,bd871707072c70cf127628128a1da3b76f125fd8bb76a7502f5d6444213b2147,,134675.0,1.004121052733849e+16
2021-06-25,74cfca3e3a9f963a82c2478c8e794b687374ad9294d05f669da1466db790653e,,143209.0,1.0043833756288052e+16
2021-06-26,7a3654981f48d11a237b7a3496a856c4b4503dc9edc43f6d42d57326bf1aae9e,,151738.0,1.004645644084238e+16
2021-06-27,15a095aeb6449c8a58cf71c8d60784a59260cb2cd385453baa5dbfe8d6398503,,160320.0,1.004908061507357e+16
2021-06-28,500af5583916b7901f9f5627d482eeef99c5b549c8b4fea38f57523dc0ebfa52,,168757.0,1.0051704897549912e+16
2021-06-29,5e176f3fc67777f4100108310f93200445c8d0949c493332e920ad937477d3db,,177242.0,1.0054330184410522e+16
2021-06-30,e101ee78edbf405cf12bc682b520d0b518c1e9c46de67b58a06e34f4b3424265,,185843.0,1.0056955792201546e+16
2021-07-01,047adbdfa7114c2d7056acab7e7e1621a9e9c3feb00e615d521124af942268dd,,194213.0,1.0059582245263408e+16
2021-07-02,b6896941fe17c0d787802c8108caf301d89646fdf4a5d2ed0bb9ec54dbbf83bf,,202767.0,1.0062209270204148e+16
2021-07-03,57cfced5de3242bbdf82dec742cf959be02303c83ccbdd42207cc30747572635,,211229.0,1.0064837095253168e+16
2021-07-04,702c711c0defd2a3a97afac06f73801502524daca7528ce1c90ca64dac88d481,,219699.0,1.0067464769849184e+16
