date,transfer,addBaker,transferToEncrypted,encryptedAmountTransfer,transferToPublic,transferWithSchedule,removeBaker,updateCredentials,deployModule,initContract,update,registerData,transferWithMemo,updateBakerStake,updateBakerKeys,updateBakerRestakeEarnings,transferWithScheduleAndMemo,encryptedAmountTransferWithMemo
2021-06-09,15.0,2.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,
2021-06-10,,,,,,,,,,,,,,,,,,
2021-06-11,,,,,,,,,,,,,,,,,,
2021-06-12,,,,,,,,,,,,,,,,,,
2021-06-13,,,,,,,,,,,,,,,,,,
2021-06-14,,,,,,,,,,,,,,,,,,
2021-06-15,,,,,,,,,,,,,,,,,,
2021-06-16,,,,,,,,,,,,,,,,,,
2021-06-17,2.0,,,,,,,,,,,,,,,,,
2021-06-18,,,,,,,,,,,,,,,,,,
2021-06-19,,,,,,,,,,,,,,,,,,
2021-06-20,,,,,,,,,,,,,,,,,,
2021-06-21,,,,,,,,,,,,,,,,,,
2021-06-22,,,,,,,,,,,,,,,,,,
2021-06-23,,,,,,,,,,,,,,,,,,
2021-06-24,,,,,,,,,,,,,,,,,,
2021-06-25,,,,,,,,,,,,,,,,,,
2021-06-26,,,,,,,,,,,,,,,,,,
2021-06-27,,,,,,,,,,,,,,,,,,
2021-06-28,,,,,,,,,,,,,,,,,,
2021-06-29,,,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,
2021-07-01,,,,,,,,,,,,,,,,,,
2021-07-02,,,,,,,,,,,,,,,,,,
2021-07-03,,,,,,,,,,,,,,,,,,
2021-07-04,,,,,,,,,,,,,,,,,,
2021-07-05,2.0,,,,,,,,,,,,,,,,,
2021-07-06,2.0,,,,,,,,,,,,,,,,,
2021-07-07,2.0,,,,,6.0,,1.0,,,,,,,,,,
2021-07-08,9.0,,,,,,,1.0,,,,,,,,,,
2021-07-09,2.0,,,,,,,2.0,,,,,,,,,,
2021-07-10,,,,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,,,,,,
2021-07-12,,,,,,,,,,,,,,,,,,
2021-07-13,,,,,,,,,,,,,,,,,,
2021-07-14,,,,,,,,,,,,,,,,,,
2021-07-15,,,,,,,,,,,,,,,,,,
2021-07-16,8.0,,,,,,,,,,,,,,,,,
2021-07-17,,,,,,,,,,,,,,,,,,
2021-07-18,,,,,,,,,,,,,,,,,,
2021-07-19,1.0,,,,,,,,,,,,,,,,,
2021-07-20,,,,,,,,,,,,,,,,,,
2021-07-21,,,,,,,,,,,,,,,,,,
2021-07-22,,,,,,,,,,,,,,,,,,
2021-07-23,,,,,,,,,,,,,,,,,,
2021-07-24,,,,,,,,,,,,,,,,,,
2021-07-25,,,,,,,,,,,,,,,,,,
2021-07-26,,,,,,,,,,,,,,,,,,
2021-07-27,,,,,,,,,,,,,,,,,,
2021-07-28,,,,,,,,,,,,,,,,,,
2021-07-29,,,,,,,,,,,,,,,,,,
2021-07-30,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,,,
2021-08-01,,,,,,,,,,,,,,,,,,
2021-08-02,2.0,,,,,,,,,,,,,,,,,
2021-08-03,1.0,,,,,,,,,,,,,,,,,
2021-08-04,,,,,,,,,,,,,,,,,,
2021-08-05,,,,,,,,,,,,,,,,,,
2021-08-06,,,,,,,,,,,,,,,,,,
2021-08-07,,,,,,,,,,,,,,,,,,
2021-08-08,,,,,,,,,,,,,,,,,,
2021-08-09,,,,,,,,,,,,,,,,,,
2021-08-10,,,,,,,,,,,,,,,,,,
