date,module_deployed,contract_initialized,contract_update_issued,account_transfer,baker_added,baker_removed,baker_stake_updated,baker_stake_earnings_updated,baker_keys_updated,encrypted_amount_transferred,transferred_to_encrypted,transferred_to_public,transferred_with_schedule,credential_keys_updated,data_registered,baker_configured,delegation_configured,account_transaction,initial,normal,account_creation,protocol_update,election_difficulty_update,euro_per_energy_update,micro_ccd_per_euro_update,foundation_account_update,mint_distribution_update,transaction_fee_distribution_update,gas_rewards_update,baker_stake_threshold_update,root_update,level_1_update,add_anonymity_revoker_update,add_identity_provider_update,cooldown_parameters_cpv_1_update,pool_parameters_cpv_1_update,time_parameters_cpv_1_update,mint_distribution_cpv_1_update,update,rejected_receive,credentials_updated
2021-06-09,0,0,0,15,2.0,2.0,,,,2.0,1.0,3,1.0,,0,0,0,26,92,16,108,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-10,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,171,27,198,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-11,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,85,13,98,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-12,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,43,9,52,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-13,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,24,12,36,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-14,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,29,3,32,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-15,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,22,3,25,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-16,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,26,1,27,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-17,0,0,0,2,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,2,11,2,13,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
2021-06-18,0,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,,0,0,0,0,38,8,46,0.0,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,
